CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/08/2022,8:40,BROOKLYN,11201,40.687607,-73.99174,"(40.687607, -73.99174)",,,129       BOERUM PLACE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4525785,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,5:25,BROOKLYN,11212,40.66578,-73.91942,"(40.66578, -73.91942)",HOWARD AVENUE,SUTTER AVENUE,,2,0,0,0,0,0,2,0,Unsafe Lane Changing,Unspecified,Unspecified,,,4526355,Sedan,Pick-up Truck,Sedan,,
05/08/2022,21:00,MANHATTAN,10001,40.75702,-74.00494,"(40.75702, -74.00494)",WEST 34 STREET,12 AVENUE,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Passing Too Closely,,,,4526432,Station Wagon/Sport Utility Vehicle,,,,
05/08/2022,21:20,BROOKLYN,11208,0,0,"(0.0, 0.0)",EUCLID AVENUE,BLAKE AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4526018,Station Wagon/Sport Utility Vehicle,,,,
05/08/2022,23:11,QUEENS,11418,40.69931,-73.83157,"(40.69931, -73.83157)",,,87-34     118 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4526089,Ambulance,,,,
05/08/2022,13:00,BRONX,10468,40.870876,-73.8936,"(40.870876, -73.8936)",,,2816      JEROME AVENUE,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Reaction to Uninvolved Vehicle,,,,4525943,Sedan,Pick-up Truck,,,
05/08/2022,12:50,BROOKLYN,11236,40.641727,-73.907646,"(40.641727, -73.907646)",REMSEN AVENUE,GLENWOOD ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4526226,Sedan,Sedan,,,
05/08/2022,15:08,,,40.745903,-73.76703,"(40.745903, -73.76703)",LONG ISLAND EXPRESSWAY,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4525887,Station Wagon/Sport Utility Vehicle,Tractor Truck Diesel,,,
05/08/2022,10:49,BROOKLYN,11203,40.6546,-73.92584,"(40.6546, -73.92584)",,,147       EAST 55 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4526460,Sedan,Box Truck,,,
05/08/2022,18:20,MANHATTAN,10035,40.80142,-73.93446,"(40.80142, -73.93446)",2 AVENUE,EAST 123 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4526135,Taxi,Sedan,,,
05/08/2022,20:22,,,40.85447,-73.91008,"(40.85447, -73.91008)",WEST BURNSIDE AVENUE,,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,Unspecified,Unspecified,,4525970,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
05/08/2022,18:40,,,,,,BELT PARKWAY RAMP,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,4526136,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,Pick-up Truck,
05/08/2022,19:00,BRONX,10460,40.844105,-73.886154,"(40.844105, -73.886154)",EAST 178 STREET,MARMION AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4526072,Taxi,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,4:15,MANHATTAN,10002,40.723648,-73.99103,"(40.723648, -73.99103)",CHRYSTIE STREET,EAST HOUSTON STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4525606,Sedan,Sedan,,,
05/08/2022,13:00,,,40.8451,-73.91878,"(40.8451, -73.91878)",CROSS BRONX EXPY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4526553,Sedan,Sedan,,,
05/08/2022,20:35,BROOKLYN,11206,0,0,"(0.0, 0.0)",LEONARD STREET,TEN EYCK STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4525917,Sedan,Motorcycle,,,
05/08/2022,18:39,QUEENS,11420,40.68665,-73.80918,"(40.68665, -73.80918)",109 AVENUE,135 STREET,,4,0,0,0,0,0,4,0,Traffic Control Disregarded,Unspecified,,,,4526635,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/08/2022,13:20,QUEENS,11413,40.66531,-73.74327,"(40.66531, -73.74327)",,,232-24    SOUTH CONDUIT AVENUE,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4526481,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,4:51,,,40.708324,-73.84314,"(40.708324, -73.84314)",JACKIE ROBINSON PKWY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4525631,Sedan,,,,
05/08/2022,12:45,QUEENS,11366,40.724518,-73.8006,"(40.724518, -73.8006)",77 ROAD,168 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4525886,Sedan,,,,
05/08/2022,3:42,BRONX,10472,40.830257,-73.88228,"(40.830257, -73.88228)",,,1252      BRONX RIVER AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4526080,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,7:35,,,40.85673,-73.90279,"(40.85673, -73.90279)",EAST 182 STREET,,,1,0,0,0,0,0,1,0,Backing Unsafely,Unspecified,,,,4525944,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,11:30,STATEN ISLAND,10301,0,0,"(0.0, 0.0)",,,896       CLOVE ROAD,2,0,0,0,0,0,2,0,Unspecified,,,,,4526459,Sedan,,,,
05/08/2022,0:00,BROOKLYN,11207,40.66475,-73.89405,"(40.66475, -73.89405)",LIVONIA AVENUE,PENNSYLVANIA AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4526014,Station Wagon/Sport Utility Vehicle,,,,
05/08/2022,1:00,BROOKLYN,11230,40.611702,-73.97046,"(40.611702, -73.97046)",EAST 4 STREET,AVENUE O,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4525776,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/08/2022,14:04,,,40.73425,-73.86336,"(40.73425, -73.86336)",LONG ISLAND EXPRESSWAY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4525815,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,22:45,,,0,0,"(0.0, 0.0)",FOREST AVENUE,UNION AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4525907,Sedan,,,,
05/08/2022,3:45,QUEENS,11372,40.748867,-73.87229,"(40.748867, -73.87229)",,,94-15     ROOSEVELT AVENUE,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4526400,Sedan,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,9:14,,,,,,BROOKLYN QUEENS EXPRESSWAY E/B,48 street,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4525738,Sedan,,,,
05/08/2022,22:45,BROOKLYN,11220,0,0,"(0.0, 0.0)",65 STREET,8 AVENUE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,4526155,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/08/2022,1:35,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,3,0,0,0,0,0,3,0,Driver Inattention/Distraction,,,,,4525799,Station Wagon/Sport Utility Vehicle,,,,
05/08/2022,19:30,BRONX,10452,40.841496,-73.92486,"(40.841496, -73.92486)",OGDEN AVENUE,WEST 170 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,,,,4525982,Sedan,Sedan,,,
05/08/2022,22:00,,,0,0,"(0.0, 0.0)",NOSTRAND AVENUE,,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4526514,Motorcycle,Sedan,,,
05/08/2022,1:00,QUEENS,11412,0,0,"(0.0, 0.0)",203 STREET,113 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4526411,Station Wagon/Sport Utility Vehicle,,,,
05/08/2022,8:06,,,,,,THROGS NECK BRIDGE,,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4525893,Sedan,,,,
05/08/2022,11:09,QUEENS,11691,40.59955,-73.76129,"(40.59955, -73.76129)",BROOKHAVEN AVENUE,BEACH 25 STREET,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,4526002,Sedan,Sedan,,,
05/08/2022,11:08,STATEN ISLAND,10306,0,0,"(0.0, 0.0)",BUFFALO STREET,EMMET AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4525865,Pick-up Truck,Sedan,,,
05/08/2022,22:40,QUEENS,11357,40.791416,-73.829285,"(40.791416, -73.829285)",7 AVENUE,141 STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4526363,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,19:38,MANHATTAN,10010,40.73841,-73.982185,"(40.73841, -73.982185)",,,240       EAST 23 STREET,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4526190,Station Wagon/Sport Utility Vehicle,Sedan,,,
